Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n,SS
10,10,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,20,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,30,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,40,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,50,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,60,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,70,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,80,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,90,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,100,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,110,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,120,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,130,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,140,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,150,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,160,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,170,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
10,180,0.17,0.17,0.1,0.5,0.0127,1.3,1e-07
12.6447252424331,192.644725242433,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
15.2894504848663,207.934175727299,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
17.9341757272994,225.868351454599,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
20.5789009697326,246.447252424331,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
23.2236262121657,269.670878636497,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
25.8683514545989,295.539230091096,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
28.513076697032,324.052306788128,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
31.1578019394652,355.210108727593,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
33.8025271818983,389.012635909492,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
36.4472524243315,425.459888333823,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
39.0919776667646,464.551866000588,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
41.7367029091978,506.288568909785,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
44.3814281516309,550.669997061416,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
47.0261533940641,597.69615045548,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
49.6708786364972,647.367029091978,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
52.3156038789304,699.682632970908,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
54.9603291213635,754.642962092272,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
57.6050543637966,812.248016456068,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
60.2497796062298,872.497796062298,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
62.8945048486629,935.392300910961,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
65.5392300910961,1000.93153100206,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
68.1839553335292,1069.11548633559,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
70.8286805759624,1139.94416691155,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
73.4734058183955,1213.41757272994,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
76.1181310608287,1289.53570379077,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
78.7628563032618,1368.29856009403,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
81.407581545695,1449.70614163973,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
84.0523067881281,1533.75844842786,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
