"number","SnowCorrFactor","ThresTempRain","ThresTempSnow"
"0176",0.5,2.5,-2.75
"0177",0.5,2.5,-2.5
"0178",0.5,2.5,-2.25
"0179",0.5,2.5,-2
"0180",0.5,2.5,-1.75
"0181",0.5,2.5,-1.5
"0182",0.5,2.5,-1.25
"0183",0.5,2.5,-1
"0184",0.5,2.5,-0.75
"0185",0.5,2.5,-0.5
"0186",0.5,2.5,-0.25
"0187",0.5,2.5,0
"0188",0.5,2.75,-4
"0189",0.5,2.75,-3.75
"0190",0.5,2.75,-3.5
"0191",0.5,2.75,-3.25
"0192",0.5,2.75,-3
"0193",0.5,2.75,-2.75
"0194",0.5,2.75,-2.5
"0195",0.5,2.75,-2.25
"0196",0.5,2.75,-2
"0197",0.5,2.75,-1.75
"0198",0.5,2.75,-1.5
"0199",0.5,2.75,-1.25
"0200",0.5,2.75,-1
"0201",0.5,2.75,-0.75
"0202",0.5,2.75,-0.5
"0203",0.5,2.75,-0.25
"0204",0.5,2.75,0
"0205",0.5,3,-4
"0206",0.5,3,-3.75
"0207",0.5,3,-3.5
"0208",0.5,3,-3.25
"0209",0.5,3,-3
"0210",0.5,3,-2.75
"0211",0.5,3,-2.5
"0212",0.5,3,-2.25
"0213",0.5,3,-2
"0214",0.5,3,-1.75
"0215",0.5,3,-1.5
"0216",0.5,3,-1.25
"0217",0.5,3,-1
"0218",0.5,3,-0.75
"0219",0.5,3,-0.5
"0220",0.5,3,-0.25
"0221",0.5,3,0
"0222",0.5,3.25,-4
"0223",0.5,3.25,-3.75
"0224",0.5,3.25,-3.5
"0225",0.5,3.25,-3.25
"0226",0.5,3.25,-3
"0227",0.5,3.25,-2.75
"0228",0.5,3.25,-2.5
"0229",0.5,3.25,-2.25
"0230",0.5,3.25,-2
"0231",0.5,3.25,-1.75
"0232",0.5,3.25,-1.5
"0233",0.5,3.25,-1.25
"0234",0.5,3.25,-1
"0235",0.5,3.25,-0.75
"0236",0.5,3.25,-0.5
"0237",0.5,3.25,-0.25
"0238",0.5,3.25,0
"0239",0.5,3.5,-4
"0240",0.5,3.5,-3.75
"0241",0.5,3.5,-3.5
"0242",0.5,3.5,-3.25
"0243",0.5,3.5,-3
"0244",0.5,3.5,-2.75
"0245",0.5,3.5,-2.5
"0246",0.5,3.5,-2.25
"0247",0.5,3.5,-2
"0248",0.5,3.5,-1.75
"0249",0.5,3.5,-1.5
"0250",0.5,3.5,-1.25
"0251",0.5,3.5,-1
"0252",0.5,3.5,-0.75
"0253",0.5,3.5,-0.5
"0254",0.5,3.5,-0.25
"0255",0.5,3.5,0
"0256",0.5,3.75,-4
"0257",0.5,3.75,-3.75
"0258",0.5,3.75,-3.5
"0259",0.5,3.75,-3.25
"0260",0.5,3.75,-3
"0261",0.5,3.75,-2.75
"0262",0.5,3.75,-2.5
"0263",0.5,3.75,-2.25
"0264",0.5,3.75,-2
"0265",0.5,3.75,-1.75
"0266",0.5,3.75,-1.5
"0267",0.5,3.75,-1.25
"0268",0.5,3.75,-1
"0269",0.5,3.75,-0.75
