"number","SnowCorrFactor","ThresTempRain","ThresTempSnow","IrriducibleWatSatSnow","SnowAgingCoeffVis","SnowAgingCoeffNIR","RMSE","NRMSE","NSE","R2"
"0001",1.28335898198769,3.69802704429906,-2.90462818485685,0.04,0.25,0.45,363.721369540253,0.826052791006962,-14.526378576102,0.413307491561813
"0002",1.45132891405933,0.328944493825547,-2.25858553627226,0.04,0.25,0.45,348.516640328808,0.791521113592751,-13.255405435518,0.340752526450207
"0003",0.562694459603401,1.06184837953839,-3.53765795132797,0.04,0.25,0.45,92.5640603248726,0.210223557870541,-0.00558162590645273,0.314664781751133
"0004",0.558433666297467,2.58656840989552,-2.66578522768617,0.04,0.25,0.45,90.2240523558421,0.204909132390841,0.0446176925645324,0.411546185311836
"0005",0.8963324654561,2.08830528087541,-0.545100295033306,0.04,0.25,0.45,218.762536695997,0.49683471783335,-4.61666390826911,0.40485045567216
"0006",1.29976096121757,3.48733546878118,-0.706672219475731,0.04,0.25,0.45,386.763077004606,0.878383141529268,-16.5558778045364,0.418139085555909
"0007",1.19468556089187,1.48015083819069,-2.95287419835106,0.04,0.25,0.45,294.213936550881,0.668193468390929,-9.1591884777004,0.375246772194207
"0008",1.3695857828299,1.67901935263351,-3.19808617928065,0.04,0.25,0.45,352.030822454547,0.799502222749858,-13.5443365853012,0.379209288689749
"0009",1.19093174443021,1.37038026610296,-0.514007427435368,0.04,0.25,0.45,330.380284342976,0.750331376790294,-11.8103436746518,0.40674023592504
"0010",0.675292507756967,1.77375019922573,-1.40553846037574,0.04,0.25,0.45,125.724205096412,0.285534035705124,-0.855112845883538,0.418607793572137
"0011",1.12936387955374,0.250345277946442,-2.88871014045738,0.04,0.25,0.45,228.802438191389,0.519636481343112,-5.14403713766352,0.32490455414133
"0012",0.88748732576007,2.70895837333705,-3.16116217946634,0.04,0.25,0.45,202.462779181304,0.459816106018574,-3.81086227349046,0.371812135619583
"0013",0.715318764454918,3.37957170502096,-2.58323414476868,0.04,0.25,0.45,145.44168017934,0.330314674644349,-1.48262029784726,0.415319394670444
"0014",1.11014157351153,0.784862542220391,-1.65034581600782,0.04,0.25,0.45,254.781685529832,0.578638320578752,-6.61849082168192,0.371338924306329
"0015",0.656656394967111,2.11169115732051,-2.8267481876323,0.04,0.25,0.45,118.684100944127,0.26954515473471,-0.653170414392116,0.353751017729405
