Year,Harvest,Fire disturbance,Transect,Quadrat,Organic layer depth (cm),Organic Eriophorum vaginatum fine roots (g/m2),Organic Eriophorum vaginatum fine roots (gC/m2),Organic Eriophorum vaginatum fine roots (gN/m2),Organic Other fine roots (g/m2),Organic Other fine roots C (gC/m2),Organic Other fine roots N (gN/m2),Organic Coarse roots (g/m2),Organic Coarse C roots (gC/m2),Organic Coarse roots N (gN/m2),Organic Total fine root (g/m2),Organic Total fine root C (gC/m2),Organic Total fine root N (gN/m2),Organic Total root biomass (g/m2),Organic Total root C (gC/m2),Organic Total root N (gN/m2),Organic Erivag Root C:N,Organic Other Fine Root C:N,Organic Fine Root C:N,Organic Root total C:N,Mineral layer depth (cm),Mineral Eriophorum vaginatum fine roots (g/m2),Mineral Eriophorum vaginatum fine roots (gC/m2),Mineral Eriophorum vaginatum fine roots (gN/m2),Mineral Other fine roots (g/m2),Mineral Other fine roots C (gC/m2),Mineral Other fine roots N (gN/m2),Mineral Coarse roots (g/m2),Mineral Coarse C roots (gC/m2),Mineral Coarse roots N (gN/m2),Mineral Total fine root (g/m2),Mineral Total fine root C (gC/m2),Mineral Total fine root N (gN/m2),Mineral Total root biomass (g/m2),Mineral Total root C (gC/m2),Mineral Total root N (gN/m2),Mineral Erivag Root C:N,Mineral Other Fine Root C:N,Mineral Fine Root C:N,Mineral Root total C:N,O+M Total Roots (g/m2),O+M Total Root C (gC/m2),O+M Total Root N (gN/m2),O+M Total Root C:N
2011,ARF,Unburned,108,4,30.5,77.439,33.386,1.341,724.117,340.487,8.351,417.623,204.424,1.937,801.556,373.873,9.692,1219.179,578.297,11.629,24.902,40.770,38.575,49.730,15,18.189,6.706,0.325,21.827,7.551,0.299,0.000,0.000,0.000,40.016,14.257,0.624,40.016,14.257,0.624,20.631,25.224,22.833,22.833,7.320,3.552,0.069,51.660
2011,ARF,Unburned,108,6,19,5.933,2.586,0.114,242.585,119.206,2.486,119.777,59.893,0.515,248.518,121.792,2.600,368.295,181.685,3.115,22.750,47.947,46.845,58.328,15,0.260,0.101,0.004,10.587,4.009,0.177,0.000,0.000,0.000,10.847,4.110,0.181,10.847,4.110,0.181,24.038,22.612,22.645,22.645,0.520,0.223,0.007,31.159
2011,ARF,Unburned,108,8,14,14.502,6.384,0.223,76.976,35.385,1.150,787.175,389.990,4.219,91.477,41.769,1.374,878.652,431.759,5.593,28.586,30.762,30.408,77.198,25,1.480,0.575,0.024,10.454,4.335,0.173,0.000,0.000,0.000,11.934,4.911,0.197,11.934,4.911,0.197,24.038,24.994,24.878,24.878,120.394,55.570,1.369,40.599
2011,ARF,Unburned,108,10,16.25,1.207,0.548,0.014,304.265,149.588,2.734,231.590,116.013,1.077,305.473,150.136,2.749,537.062,266.149,3.825,38.083,54.711,54.624,69.574,13,4.677,1.819,0.076,20.788,8.892,0.366,0.000,0.000,0.000,25.465,10.711,0.442,25.465,10.711,0.442,24.038,24.280,24.239,24.239,36.644,15.656,0.324,48.251
2011,ARF,Unburned,109,2,18.5,1.738,0.000,0.000,366.307,181.052,2.901,0.000,0.000,0.000,368.045,181.052,2.901,368.045,181.052,2.901,.,62.402,62.402,62.402,36,23.423,7.209,0.340,1.813,0.725,0.018,0.000,0.000,0.000,25.236,7.935,0.358,25.236,7.935,0.358,21.234,40.000,22.185,22.185,361.940,164.010,4.196,39.085
2011,ARF,Unburned,109,4,5.25,12.796,5.826,0.117,42.430,14.449,0.334,0.000,0.000,0.000,55.226,20.275,0.451,55.226,20.275,0.451,49.922,43.269,44.992,44.992,35,2.272,0.676,0.030,1.819,0.778,0.022,0.000,0.000,0.000,4.091,1.455,0.052,4.091,1.455,0.052,22.586,35.833,28.155,28.155,1259.195,592.554,12.253,48.359
2011,ARF,Unburned,109,6,19.25,71.223,33.106,0.473,141.266,67.629,1.429,0.000,0.000,0.000,212.489,100.735,1.902,212.489,100.735,1.902,69.959,47.318,52.949,52.949,15,2.858,0.851,0.038,12.473,4.972,0.122,0.000,0.000,0.000,15.331,5.823,0.160,15.331,5.823,0.160,22.586,40.639,36.389,36.389,379.142,185.795,3.296,56.363
2011,ARF,Unburned,109,8,16,0.000,0.000,0.000,216.270,105.571,1.734,0.000,0.000,0.000,216.270,105.571,1.734,216.270,105.571,1.734,.,60.882,60.882,60.882,22,10.654,3.055,0.125,6.236,2.427,0.053,0.000,0.000,0.000,16.890,5.482,0.178,16.890,5.482,0.178,24.387,45.621,30.716,30.716,890.587,436.670,5.790,75.414
2011,ARF,Unburned,109,10,23.25,128.078,57.789,1.022,414.613,185.733,4.683,10.872,5.566,0.051,542.691,243.522,5.705,553.562,249.088,5.756,56.557,39.660,42.686,43.272,9.5,0.000,0.000,0.000,50.150,20.060,0.502,0.000,0.000,0.000,50.150,20.060,0.502,50.150,20.060,0.502,.,40.000,40.000,40.000,562.527,276.859,4.267,64.879
2011,ARF,Severe Burn,114,2,8.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,.,.,.,.,33,2.720,1.142,0.023,0.000,0.000,0.000,0.000,0.000,0.000,2.720,1.142,0.023,2.720,1.142,0.023,50.602,.,50.602,50.602,393.281,188.986,3.259,57.988
2011,ARF,Severe Burn,114,4,18.25,0.000,0.000,0.000,7.320,3.552,0.069,0.000,0.000,0.000,7.320,3.552,0.069,7.320,3.552,0.069,.,51.660,51.660,51.660,26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,.,.,.,.,59.317,21.729,0.502,43.260
2011,ARF,Severe Burn,114,6,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,.,.,.,.,30,0.000,0.000,0.000,0.520,0.223,0.007,0.000,0.000,0.000,0.520,0.223,0.007,0.520,0.223,0.007,.,31.159,31.159,31.159,227.820,106.559,2.063,51.665
2011,ARF,Severe Burn,114,8,9,0.000,0.000,0.000,16.098,7.903,0.164,0.000,0.000,0.000,16.098,7.903,0.164,16.098,7.903,0.164,.,48.271,48.271,48.271,27,5.107,2.145,0.042,99.188,45.522,1.163,0.000,0.000,0.000,104.296,47.667,1.205,104.296,47.667,1.205,50.602,39.154,39.557,39.557,233.160,111.053,1.913,58.067
2011,ARF,Severe Burn,114,10,16.5,10.550,4.772,0.066,0.000,0.000,0.000,0.000,0.000,0.000,10.550,4.772,0.066,10.550,4.772,0.066,72.504,.,72.504,72.504,35,17.978,7.564,0.152,8.116,3.320,0.107,0.000,0.000,0.000,26.094,10.884,0.259,26.094,10.884,0.259,49.865,31.039,42.080,42.080,603.713,269.148,6.258,43.010
