Date,Year,Day,Hour_Min,Mod Temp 1,Mod Temp 2,Mod Temp 3,Mod Temp 4,Mod Temp 5,Mod Temp 6,Mod PA 1,Mod PA 2,Mod PA 3,Mod PA 4,Mod PA 5,Mod PA 6,Mod Calc. VWC 1,Mod Calc. VWC 2,Mod Calc. VWC 3,Mod Calc. VWC 4,Mod Calc. VWC 5,Mod Calc. VWC 6
21-Oct-2010 20:30,2010,294,2030,-0.65,-0.62,-1.57,-0.91,-1.77,-1.17,17.33,20.16,16.25,16.89,18.41,17.35,9.80,13.16,8.66,9.32,11.00,9.80
21-Oct-2010 21:00,2010,294,2100,-0.65,-0.63,-1.62,-0.91,-1.78,-1.20,17.33,20.15,16.25,16.89,18.41,17.35,9.80,13.16,8.66,9.32,11.00,9.80
21-Oct-2010 21:30,2010,294,2130,-0.65,-0.63,-1.62,-0.91,-1.81,-1.22,17.33,20.14,16.25,16.89,18.41,17.35,9.80,13.16,8.66,9.32,11.00,9.80
21-Oct-2010 22:00,2010,294,2200,-0.66,-0.63,-1.65,-0.91,-1.82,-1.23,17.33,20.14,16.25,16.89,18.41,17.35,9.80,13.16,8.66,9.32,11.00,9.80
21-Oct-2010 22:30,2010,294,2230,-0.67,-0.63,-1.68,-0.91,-1.85,-1.24,17.33,20.13,16.25,16.89,18.41,17.35,9.80,13.16,8.66,9.32,11.00,9.80
21-Oct-2010 23:00,2010,294,2300,-0.67,-0.64,-1.72,-0.91,-1.88,-1.25,17.33,20.12,16.25,16.89,18.41,17.35,9.80,13.10,8.66,9.32,11.00,9.80
21-Oct-2010 23:30,2010,294,2330,-0.68,-0.65,-1.76,-0.92,-1.91,-1.27,17.33,20.11,16.25,16.89,18.41,17.35,9.80,13.10,8.66,9.32,11.00,9.80
22-Oct-2010 00:00,2010,294,2400,-0.69,-0.65,-1.80,-0.92,-1.93,-1.30,17.33,20.10,16.25,16.89,18.40,17.35,9.80,13.10,8.66,9.32,11.00,9.80
22-Oct-2010 00:30,2010,295,30,-0.69,-0.66,-1.81,-0.92,-1.95,-1.32,17.33,20.09,16.25,16.89,18.40,17.35,9.80,13.10,8.66,9.32,11.00,9.80
22-Oct-2010 01:00,2010,295,100,-0.70,-0.67,-1.84,-0.92,-1.96,-1.35,17.33,20.09,16.25,16.89,18.40,17.35,9.80,13.10,8.66,9.32,11.00,9.80
22-Oct-2010 01:30,2010,295,130,-0.71,-0.67,-1.84,-0.92,-1.97,-1.37,17.32,20.08,16.25,16.88,18.40,17.35,9.80,13.04,8.66,9.32,11.00,9.80
22-Oct-2010 02:00,2010,295,200,-0.71,-0.68,-1.90,-0.92,-1.99,-1.39,17.32,20.07,16.25,16.88,18.40,17.35,9.80,13.04,8.66,9.32,11.00,9.80
22-Oct-2010 02:30,2010,295,230,-0.72,-0.68,-1.98,-0.93,-2.00,-1.42,17.32,20.06,16.24,16.88,18.40,17.35,9.80,13.04,8.66,9.32,11.00,9.80
22-Oct-2010 03:00,2010,295,300,-0.73,-0.68,-2.02,-0.93,-2.03,-1.44,17.32,20.05,16.24,16.88,18.40,17.34,9.80,13.04,8.66,9.32,11.00,9.80
22-Oct-2010 03:30,2010,295,330,-0.73,-0.69,-2.17,-0.93,-2.05,-1.47,17.32,20.04,16.24,16.88,18.40,17.34,9.80,13.04,8.66,9.32,11.00,9.80
22-Oct-2010 04:00,2010,295,400,-0.74,-0.69,-2.17,-0.93,-2.08,-1.49,17.32,20.03,16.24,16.88,18.39,17.34,9.80,12.98,8.66,9.32,11.00,9.80
22-Oct-2010 04:30,2010,295,430,-0.74,-0.69,-2.33,-0.93,-2.14,-1.51,17.32,20.02,16.24,16.88,18.39,17.34,9.74,12.98,8.66,9.32,11.00,9.80
22-Oct-2010 05:00,2010,295,500,-0.75,-0.68,-2.42,-0.93,-2.23,-1.54,17.31,20.01,16.24,16.88,18.39,17.34,9.74,12.98,8.66,9.32,11.00,9.80
22-Oct-2010 05:30,2010,295,530,-0.77,-0.68,-2.35,-0.94,-2.25,-1.55,17.31,20.00,16.24,16.88,18.39,17.33,9.74,12.98,8.66,9.32,11.00,9.80
22-Oct-2010 06:00,2010,295,600,-0.78,-0.68,-2.19,-0.94,-2.23,-1.54,17.31,19.99,16.24,16.88,18.39,17.33,9.74,12.92,8.66,9.32,10.94,9.80
22-Oct-2010 06:30,2010,295,630,-0.78,-0.68,-2.25,-0.94,-2.18,-1.55,17.31,19.97,16.24,16.88,18.38,17.33,9.74,12.92,8.66,9.32,10.94,9.80
22-Oct-2010 07:00,2010,295,700,-0.79,-0.68,-2.29,-0.94,-2.15,-1.54,17.31,19.96,16.24,16.88,18.38,17.33,9.74,12.92,8.66,9.32,10.94,9.80
22-Oct-2010 07:30,2010,295,730,-0.79,-0.68,-2.15,-0.94,-2.12,-1.53,17.31,19.95,16.24,16.88,18.38,17.33,9.74,12.92,8.66,9.32,10.94,9.80
22-Oct-2010 08:00,2010,295,800,-0.80,-0.68,-2.10,-0.94,-2.09,-1.53,17.30,19.94,16.24,16.88,18.38,17.33,9.74,12.86,8.66,9.32,10.94,9.80
22-Oct-2010 08:30,2010,295,830,-0.79,-0.68,-2.06,-0.94,-2.07,-1.52,17.30,19.92,16.24,16.88,18.38,17.33,9.74,12.86,8.66,9.32,10.94,9.80
22-Oct-2010 09:00,2010,295,900,-0.79,-0.69,-2.04,-0.94,-2.05,-1.52,17.30,19.91,16.24,16.88,18.38,17.33,9.74,12.86,8.66,9.32,10.94,9.80
22-Oct-2010 09:30,2010,295,930,-0.79,-0.69,-2.02,-0.93,-2.03,-1.52,17.30,19.89,16.24,16.88,18.38,17.33,9.74,12.80,8.66,9.32,10.94,9.80
22-Oct-2010 10:00,2010,295,1000,-0.79,-0.69,-1.99,-0.93,-2.02,-1.52,17.30,19.88,16.23,16.88,18.38,17.33,9.74,12.80,8.66,9.32,10.94,9.80
22-Oct-2010 10:30,2010,295,1030,-0.79,-0.69,-1.96,-0.93,-2.01,-1.52,17.30,19.86,16.23,16.88,18.39,17.33,9.74,12.80,8.66,9.32,10.94,9.80
22-Oct-2010 11:00,2010,295,1100,-0.79,-0.70,-1.94,-0.93,-2.01,-1.52,17.30,19.84,16.23,16.88,18.39,17.33,9.74,12.74,8.66,9.32,10.94,9.80
22-Oct-2010 11:30,2010,295,1130,-0.78,-0.70,-1.92,-0.93,-2.01,-1.52,17.30,19.83,16.23,16.88,18.39,17.33,9.74,12.74,8.66,9.32,11.00,9.80
22-Oct-2010 12:00,2010,295,1200,-0.78,-0.70,-1.89,-0.93,-2.03,-1.53,17.30,19.81,16.23,16.88,18.39,17.33,9.74,12.74,8.66,9.32,11.00,9.80
22-Oct-2010 12:30,2010,295,1230,-0.78,-0.71,-1.88,-0.92,-2.04,-1.53,17.31,19.80,16.23,16.88,18.39,17.33,9.74,12.68,8.66,9.32,11.00,9.80
22-Oct-2010 13:00,2010,295,1300,-0.77,-0.71,-1.85,-0.92,-2.05,-1.54,17.31,19.78,16.23,16.88,18.39,17.33,9.74,12.68,8.66,9.32,11.00,9.80
22-Oct-2010 13:30,2010,295,1330,-0.77,-0.71,-1.83,-0.92,-2.07,-1.55,17.31,19.76,16.23,16.88,18.39,17.33,9.74,12.68,8.66,9.32,11.00,9.80
22-Oct-2010 14:00,2010,295,1400,-0.77,-0.72,-1.81,-0.92,-2.09,-1.57,17.31,19.75,16.23,16.88,18.39,17.33,9.74,12.62,8.66,9.32,11.00,9.80
22-Oct-2010 14:30,2010,295,1430,-0.76,-0.72,-1.81,-0.93,-2.10,-1.59,17.31,19.73,16.23,16.88,18.39,17.33,9.74,12.62,8.66,9.32,11.00,9.80
22-Oct-2010 15:00,2010,295,1500,-0.75,-0.72,-1.83,-0.93,-2.10,-1.62,17.31,19.72,16.23,16.88,18.39,17.33,9.74,12.62,8.66,9.32,11.00,9.80
22-Oct-2010 15:30,2010,295,1530,-0.75,-0.73,-1.79,-0.93,-2.11,-1.65,17.31,19.70,16.23,16.88,18.39,17.33,9.74,12.56,8.66,9.32,11.00,9.80
