"date","Tsoil.C","fire.sev","datasource"
2008-01-01,-3.51130945275,"Severe","gapfill"
2008-01-02,-3.54761848975,"Severe","gapfill"
2008-01-03,-3.6306627605,"Severe","gapfill"
2008-01-04,-3.630433594,"Severe","gapfill"
2008-01-05,-3.64184635425,"Severe","gapfill"
2008-01-06,-3.74675390625,"Severe","gapfill"
2008-01-07,-3.88772526025,"Severe","gapfill"
2008-01-08,-4.056436198,"Severe","gapfill"
2008-01-09,-4.21439322925,"Severe","gapfill"
2008-01-10,-4.3771744795,"Severe","gapfill"
2008-01-11,-4.530158854,"Severe","gapfill"
2008-01-12,-4.5806770835,"Severe","gapfill"
2008-01-13,-4.59291406275,"Severe","gapfill"
2008-01-14,-4.54344140625,"Severe","gapfill"
2008-01-15,-4.452779948,"Severe","gapfill"
2008-01-16,-4.49313802075,"Severe","gapfill"
2008-01-17,-4.55040234375,"Severe","gapfill"
2008-01-18,-4.79578645825,"Severe","gapfill"
2008-01-19,-5.062265625,"Severe","gapfill"
2008-01-20,-5.249674479,"Severe","gapfill"
2008-01-21,-5.24834505225,"Severe","gapfill"
2008-01-22,-5.08390625,"Severe","gapfill"
2008-01-23,-4.99594921875,"Severe","gapfill"
2008-01-24,-4.91926692725,"Severe","gapfill"
2008-01-25,-4.8621354165,"Severe","gapfill"
2008-01-26,-4.87005078125,"Severe","gapfill"
2008-01-27,-5.021078125,"Severe","gapfill"
2008-01-28,-5.12622395825,"Severe","gapfill"
2008-01-29,-5.26114453125,"Severe","gapfill"
2008-01-30,-5.370092448,"Severe","gapfill"
2008-01-31,-5.421684895,"Severe","gapfill"
2008-02-01,-5.47343750075,"Severe","gapfill"
2008-02-02,-5.56175,"Severe","gapfill"
2008-02-03,-5.1199745828,"Severe","gapfill"
2008-02-04,-5.3364575314,"Severe","gapfill"
2008-02-05,-5.4976906242,"Severe","gapfill"
2008-02-06,-5.5548651316,"Severe","gapfill"
2008-02-07,-5.6985518474,"Severe","gapfill"
2008-02-08,-5.902793541,"Severe","gapfill"
2008-02-09,-6.1125499992,"Severe","gapfill"
2008-02-10,-6.2789583326,"Severe","gapfill"
2008-02-11,-6.3566979168,"Severe","gapfill"
2008-02-12,-6.3829468744,"Severe","gapfill"
2008-02-13,-6.4570802082,"Severe","gapfill"
2008-02-14,-6.6106947916,"Severe","gapfill"
2008-02-15,-6.5823614584,"Severe","gapfill"
2008-02-16,-6.48025625,"Severe","gapfill"
2008-02-17,-6.5568479166,"Severe","gapfill"
2008-02-18,-6.5775822916,"Severe","gapfill"
2008-02-19,-6.5179208332,"Severe","gapfill"
2008-02-20,-6.6876041666,"Severe","gapfill"
2008-02-21,-6.700246875,"Severe","gapfill"
2008-02-22,-6.6563677084,"Severe","gapfill"
2008-02-23,-6.5670697918,"Severe","gapfill"
2008-02-24,-6.4660489584,"Severe","gapfill"
2008-02-25,-6.4353677084,"Severe","gapfill"
2008-02-26,-6.5360239584,"Severe","gapfill"
2008-02-27,-6.619278125,"Severe","gapfill"
2008-02-28,-6.5575333334,"Severe","gapfill"
2008-02-29,-6.6035510418,"Severe","gapfill"
2008-03-01,-6.7152822916,"Severe","gapfill"
2008-03-02,-6.7613437506,"Severe","gapfill"
2008-03-03,-6.7835468744,"Severe","gapfill"
2008-03-04,-6.7548072918,"Severe","gapfill"
2008-03-05,-6.740428125,"Severe","gapfill"
2008-03-06,-6.7999656242,"Severe","gapfill"
2008-03-07,-6.8761750002,"Severe","gapfill"
2008-03-08,-6.8418416662,"Severe","gapfill"
2008-03-09,-6.7955479166,"Severe","gapfill"
2008-03-10,-6.8635208336,"Severe","gapfill"
2008-03-11,-7.0598489584,"Severe","gapfill"
2008-03-12,-7.286266666,"Severe","gapfill"
2008-03-13,-7.4977239582,"Severe","gapfill"
2008-03-14,-7.6763989576,"Severe","gapfill"
2008-03-15,-7.797027084,"Severe","gapfill"
2008-03-16,-7.8156687502,"Severe","gapfill"
2008-03-17,-7.762375,"Severe","gapfill"
