"date","Tair.C.mean","Tair.C.min","Tair.C.max","RH","P.kPa","wind.m_s","precip.mm","rad.W_m2"
2001-02-24,-4.52916666666667,-30.6,-1,NA,NA,NA,0,NA
2001-02-25,-3.89583333333333,-30.6,-1,NA,NA,NA,0,NA
2001-02-26,-10.75,-26.6,-5,NA,NA,NA,0,NA
2001-02-27,-24.4166666666667,-30.6,-11.6,NA,NA,NA,0,NA
2001-02-28,-16.575,-26.6,-7.7,NA,NA,NA,0,NA
2001-03-01,-17.95,-24.1,-13.8,NA,NA,NA,0,NA
2001-03-02,-19.3125,-22,-14.9,NA,NA,NA,0,NA
2001-03-03,-15.4208333333333,-19.2,-10.6,NA,NA,NA,0,NA
2001-03-04,-16.5125,-22,-12.7,NA,NA,NA,0,NA
2001-03-05,-25.1416666666667,-27.6,-22,NA,NA,NA,0,NA
2001-03-06,-23.4166666666667,-30.6,-1,NA,NA,NA,0,NA
2001-03-07,-9.87916666666667,-30.6,-1,NA,NA,NA,0,NA
2001-03-08,-14.8375,-30.6,-1,NA,NA,NA,0,NA
2001-03-09,-5.7625,-30.6,-1,NA,NA,NA,0,NA
2001-03-10,-1,-1,-1,NA,NA,NA,0,NA
2001-03-11,-2.23333333333333,-30.6,-1,NA,NA,NA,0,NA
2001-03-12,-2.1875,-29.5,-1,NA,NA,NA,0,NA
2001-03-13,-15.2375,-30.6,-1,NA,NA,NA,0,NA
2001-03-14,-21.1666666666667,-22.7,-18.6,NA,NA,NA,0,NA
2001-03-15,-18.2,-24.1,-13.2,NA,NA,NA,0,NA
2001-03-16,-20.4541666666667,-30.6,-1,NA,NA,NA,0,NA
2001-03-17,-18.1458333333333,-30.6,-1,NA,NA,NA,0,NA
2001-03-18,-26.5625,-30.6,-21.3,NA,NA,NA,0,NA
2001-03-19,-23.925,-27.6,-19.2,NA,NA,NA,0,NA
2001-03-20,-22.4791666666667,-27.6,-16.7,NA,NA,NA,0,NA
2001-03-21,-25.6125,-29.5,-22,NA,NA,NA,0,NA
2001-03-22,-22.2916666666667,-26.6,-16.7,NA,NA,NA,0,NA
2001-03-23,-23.9458333333333,-28.5,-16.1,NA,NA,NA,0,NA
2001-03-24,-15.0083333333333,-30.6,-1,NA,NA,NA,0,NA
2001-03-25,-2.23333333333333,-30.6,-1,NA,NA,NA,0,NA
2001-03-26,-1,-1,-1,NA,NA,NA,0,NA
2001-03-27,-11.9166666666667,-30.6,-1,NA,NA,NA,0,NA
2001-03-28,-26.7791666666667,-30.6,-1,NA,NA,NA,0,NA
2001-03-29,-15.0958333333333,-29.5,-1,NA,NA,NA,0,NA
2001-03-30,-22.775,-27.6,-16.1,NA,NA,NA,0,NA
2001-03-31,-18.9458333333333,-30.6,-1,NA,NA,NA,0,NA
2001-04-01,-19.2916666666667,-30.6,-1,NA,NA,NA,0,NA
2001-04-02,-23.5208333333333,-30.6,-11.1,NA,NA,NA,0,NA
2001-04-03,-7.40833333333333,-11.1,-3.3,NA,NA,NA,0,NA
2001-04-04,-18.8291666666667,-23.4,-13.2,NA,NA,NA,0,NA
2001-04-05,-13.8333333333333,-19.9,-5,NA,NA,NA,0,NA
2001-04-06,-6.12083333333333,-9.1,-4.1,NA,NA,NA,0,NA
2001-04-07,-6.12083333333333,-10.6,-4.1,NA,NA,NA,0,NA
2001-04-08,-6.075,-11.6,-1.6,NA,NA,NA,0,NA
2001-04-09,-8.34583333333333,-13.8,-4.1,NA,NA,NA,0,NA
2001-04-10,-4.60416666666667,-9.1,-1.6,NA,NA,NA,0,NA
