Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,70.000000,80.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,0.010060,0.010060,0.010060,0.010060,0.010060,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878,0.027878 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,0.010050,0.010051,0.010051,0.010051,0.010051,0.026787,0.027061,0.027197,0.027285,0.027458,0.027464,0.027593,0.027756,0.027780,0.027795,0.027831,0.027868 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,0.010048,0.010049,0.010049,0.010049,0.010049,0.026491,0.026718,0.026836,0.026916,0.027087,0.027093,0.027239,0.027478,0.027523,0.027557,0.027644,0.027780 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,0.010041,0.010042,0.010042,0.010042,0.010042,0.025517,0.025914,0.026118,0.026255,0.026539,0.026550,0.026786,0.027160,0.027229,0.027281,0.027417,0.027641 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,0.010036,0.010036,0.010036,0.010036,0.010036,0.024601,0.025008,0.025234,0.025393,0.025746,0.025759,0.026074,0.026624,0.026731,0.026813,0.027036,0.027415 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,0.010032,0.010032,0.010032,0.010032,0.010033,0.023926,0.024329,0.024555,0.024716,0.025078,0.025092,0.025427,0.026049,0.026175,0.026278,0.026560,0.027086 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,0.010029,0.010030,0.010030,0.010030,0.010030,0.023414,0.023773,0.023982,0.024134,0.024486,0.024500,0.024835,0.025490,0.025628,0.025743,0.026063,0.026701 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,0.010027,0.010028,0.010028,0.010028,0.010028,0.022999,0.023352,0.023554,0.023700,0.024038,0.024051,0.024373,0.025017,0.025155,0.025271,0.025603,0.026300 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,0.010027,0.010027,0.010027,0.010027,0.010027,0.022827,0.023096,0.023259,0.023381,0.023675,0.023687,0.023980,0.024595,0.024730,0.024847,0.025182,0.025912 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,0.010025,0.010025,0.010026,0.010026,0.010026,0.022568,0.022874,0.023047,0.023172,0.023458,0.023469,0.023744,0.024310,0.024435,0.024543,0.024858,0.025569 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,0.010023,0.010023,0.010023,0.010023,0.010023,0.022066,0.022395,0.022584,0.022720,0.023036,0.023048,0.023350,0.023959,0.024091,0.024205,0.024531,0.025259 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,0.010021,0.010021,0.010021,0.010021,0.010021,0.021582,0.021923,0.022119,0.022260,0.022588,0.022601,0.022915,0.023552,0.023690,0.023809,0.024152,0.024919 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,0.010019,0.010019,0.010019,0.010019,0.010019,0.021100,0.021440,0.021637,0.021780,0.022113,0.022127,0.022449,0.023109,0.023253,0.023377,0.023738,0.024547 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,0.010017,0.010018,0.010018,0.010018,0.010018,0.020745,0.021055,0.021238,0.021372,0.021689,0.021702,0.022013,0.022668,0.022813,0.022939,0.023308,0.024149 
15/01/1988 23:00,726117.958333,14.000000,1,0,1,0.010016,0.010016,0.010016,0.010016,0.010016,0.020372,0.020686,0.020869,0.021002,0.021315,0.021327,0.021633,0.022274,0.022416,0.022541,0.022906,0.023754 
16/01/1988 23:00,726118.958333,15.000000,1,0,1,0.010015,0.010015,0.010015,0.010015,0.010015,0.020020,0.020314,0.020488,0.020616,0.020922,0.020934,0.021235,0.021873,0.022016,0.022141,0.022507,0.023364 
17/01/1988 23:00,726119.958333,16.000000,1,0,1,0.010015,0.010015,0.010015,0.010015,0.010015,0.019999,0.020221,0.020358,0.020461,0.020712,0.020722,0.020979,0.021551,0.021682,0.021799,0.022147,0.022985 
18/01/1988 23:00,726120.958333,17.000000,1,0,1,0.010015,0.010015,0.010016,0.010016,0.010016,0.020102,0.020276,0.020385,0.020468,0.020673,0.020682,0.020895,0.021384,0.021497,0.021601,0.021910,0.022681 
19/01/1988 23:00,726121.958333,18.000000,1,0,1,0.010016,0.010016,0.010016,0.010016,0.010016,0.020173,0.020336,0.020436,0.020510,0.020693,0.020700,0.020887,0.021314,0.021413,0.021504,0.021777,0.022470 
20/01/1988 23:00,726122.958333,19.000000,1,0,1,0.010016,0.010016,0.010016,0.010016,0.010016,0.020179,0.020339,0.020436,0.020508,0.020682,0.020689,0.020865,0.021262,0.021353,0.021437,0.021687,0.022322 
21/01/1988 23:00,726123.958333,20.000000,1,0,1,0.010016,0.010016,0.010016,0.010016,0.010016,0.020232,0.020371,0.020457,0.020521,0.020679,0.020685,0.020847,0.021214,0.021300,0.021378,0.021611,0.022203 
22/01/1988 23:00,726124.958333,21.000000,1,0,1,0.010015,0.010016,0.010016,0.010016,0.010016,0.020144,0.020314,0.020412,0.020483,0.020650,0.020656,0.020821,0.021178,0.021259,0.021333,0.021553,0.022108 
23/01/1988 23:00,726125.958333,22.000000,1,0,1,0.010015,0.010015,0.010015,0.010015,0.010015,0.019934,0.020128,0.020240,0.020320,0.020508,0.020516,0.020697,0.021078,0.021163,0.021239,0.021463,0.022011 
24/01/1988 23:00,726126.958333,23.000000,1,0,1,0.010014,0.010015,0.010015,0.010015,0.010015,0.019845,0.020013,0.020114,0.020189,0.020368,0.020375,0.020553,0.020939,0.021025,0.021103,0.021331,0.021887 
