Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,87.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,-5.726695,-5.610064,-5.606204,-5.569138,-5.473066,-5.278617,-5.187019,-5.129783,-5.022363,-5.018670,-4.942670,-4.855147,-4.842858,-4.835621,-4.819012,-4.803605 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,-5.910794,-5.813295,-5.810040,-5.778651,-5.696131,-5.522824,-5.435953,-5.378514,-5.260109,-5.255743,-5.158499,-5.008477,-4.981690,-4.962415,-4.912834,-4.842353 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,-6.946858,-6.732598,-6.725522,-6.657626,-6.481987,-6.123481,-5.950810,-5.840077,-5.621043,-5.613183,-5.442349,-5.193774,-5.150330,-5.118960,-5.037396,-4.912185 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,-7.904920,-7.682356,-7.674614,-7.598946,-7.393366,-6.943568,-6.710877,-6.554921,-6.230264,-6.218241,-5.949777,-5.531810,-5.456277,-5.400810,-5.255601,-5.028511 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,-8.784085,-8.523652,-8.514684,-8.427271,-8.191187,-7.674491,-7.404987,-7.222581,-6.835957,-6.821450,-6.492441,-5.950093,-5.847829,-5.770010,-5.562064,-5.213199 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,-9.443679,-9.210009,-9.201650,-9.119134,-8.889005,-8.364337,-8.079808,-7.882744,-7.453593,-7.437226,-7.060284,-6.410242,-6.284149,-6.185988,-5.920137,-5.451526 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,-10.135139,-9.865840,-9.856423,-9.764130,-9.511387,-8.945863,-8.643188,-8.434505,-7.980182,-7.962829,-7.561421,-6.852260,-6.711728,-6.600009,-6.293412,-5.725812 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,-10.237169,-10.069070,-10.062660,-9.998025,-9.808291,-9.347156,-9.081350,-8.890372,-8.455594,-8.438568,-8.036212,-7.287164,-7.134814,-7.011578,-6.670166,-6.017145 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,-10.854136,-10.578397,-10.568956,-10.477050,-10.229513,-9.683892,-9.394027,-9.194091,-8.755414,-8.738542,-8.344035,-7.613944,-7.463925,-7.340552,-6.994731,-6.302883 
