Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,70.000000,80.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,0.051915,0.051915,0.051915,0.051915,0.051915,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215,0.017215 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,0.049476,0.049784,0.049828,0.049871,0.049992,0.016749,0.016877,0.016939,0.016979,0.017053,0.017056,0.017110,0.017173,0.017182,0.017188,0.017200,0.017212 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,0.048990,0.049244,0.049279,0.049314,0.049412,0.016581,0.016691,0.016748,0.016787,0.016868,0.016871,0.016941,0.017052,0.017072,0.017086,0.017125,0.017180 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,0.046873,0.047328,0.047393,0.047455,0.047630,0.016146,0.016335,0.016431,0.016495,0.016627,0.016632,0.016741,0.016911,0.016942,0.016965,0.017026,0.017122 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,0.045218,0.045610,0.045668,0.045726,0.045893,0.015697,0.015899,0.016010,0.016088,0.016260,0.016266,0.016417,0.016676,0.016725,0.016762,0.016863,0.017029 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,0.043932,0.044327,0.044385,0.044443,0.044610,0.015372,0.015570,0.015682,0.015761,0.015938,0.015945,0.016108,0.016408,0.016469,0.016517,0.016649,0.016888 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,0.043074,0.043390,0.043439,0.043487,0.043631,0.015119,0.015298,0.015402,0.015478,0.015652,0.015659,0.015824,0.016145,0.016212,0.016266,0.016420,0.016717 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,0.042268,0.042600,0.042650,0.042699,0.042844,0.014927,0.015099,0.015198,0.015270,0.015435,0.015442,0.015600,0.015916,0.015983,0.016040,0.016201,0.016533 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,0.042159,0.042356,0.042388,0.042421,0.042520,0.014829,0.014964,0.015046,0.015107,0.015255,0.015261,0.015407,0.015713,0.015780,0.015837,0.016001,0.016353 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,0.041514,0.041821,0.041867,0.041911,0.042040,0.014724,0.014870,0.014953,0.015013,0.015151,0.015157,0.015291,0.015570,0.015631,0.015685,0.015840,0.016188 
