Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,87.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,-5.692333,-5.621510,-5.619148,-5.596410,-5.505249,-5.303586,-5.208315,-5.148634,-5.036210,-5.032335,-4.952367,-4.859475,-4.846344,-4.838575,-4.820701,-4.803976 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,-5.884487,-5.825273,-5.823283,-5.804050,-5.725939,-5.547257,-5.457793,-5.398670,-5.276822,-5.272329,-5.172226,-5.017452,-4.989753,-4.969776,-4.918316,-4.844762 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,-6.883529,-6.753555,-6.749233,-6.707674,-6.541495,-6.170976,-5.992368,-5.877783,-5.651060,-5.642922,-5.466053,-5.208682,-5.163701,-5.131218,-5.046751,-4.916967 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,-7.840492,-7.706286,-7.701607,-7.655835,-7.463558,-7.004632,-6.766823,-6.607271,-6.274694,-6.262367,-5.986901,-5.556968,-5.479150,-5.421940,-5.272079,-5.037276 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,-8.710193,-8.552867,-8.547433,-8.494431,-8.273392,-7.746327,-7.471322,-7.285136,-6.890295,-6.875475,-6.539210,-5.984057,-5.879261,-5.799439,-5.586018,-5.227235 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,-9.381778,-9.241210,-9.236180,-9.186500,-8.972345,-8.440556,-8.151831,-7.951710,-7.515469,-7.498821,-7.115171,-6.452265,-6.323516,-6.223189,-5.951318,-5.471172 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,-10.064135,-9.901762,-9.896073,-9.840288,-9.604397,-9.029664,-8.722007,-8.509863,-8.047909,-8.030262,-7.621974,-6.900085,-6.756938,-6.643068,-6.330440,-5.750754 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,-10.205063,-10.104551,-10.100727,-10.062163,-9.886920,-9.423422,-9.155705,-8.963111,-8.523971,-8.506758,-8.099637,-7.339854,-7.185107,-7.059807,-6.712489,-6.047004 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,-10.788037,-10.621209,-10.615478,-10.559653,-10.327755,-9.771592,-9.476492,-9.273098,-8.827205,-8.810063,-8.409404,-7.668383,-7.516126,-7.390881,-7.039728,-6.336392 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,-11.811155,-11.621946,-11.615300,-11.550089,-11.274018,-10.599681,-10.238073,-9.988565,-9.444793,-9.424006,-8.942402,-8.081575,-7.908738,-7.768934,-7.380079,-6.614103 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,-12.951377,-12.724217,-12.716293,-12.638712,-12.312486,-11.520891,-11.098891,-10.808607,-10.177901,-10.153831,-9.596923,-8.605395,-8.406848,-8.246686,-7.802043,-6.932214 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,-14.206478,-13.954733,-13.945882,-13.859006,-13.491328,-12.592203,-12.109606,-11.776486,-11.050326,-11.022566,-10.379538,-9.233042,-9.003533,-8.818592,-8.305588,-7.305428 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,-15.173601,-14.929640,-14.920958,-14.835352,-14.468588,-13.555853,-13.056157,-12.706775,-11.933036,-11.903177,-11.205472,-9.932816,-9.675095,-9.465963,-8.883982,-7.740150 
15/01/1988 23:00,726117.958333,14.000000,1,0,1,-16.429992,-16.140759,-16.130614,-16.031091,-15.610734,-14.581500,-14.026761,-13.642200,-12.797612,-12.765157,-12.008768,-10.630982,-10.351157,-10.122983,-9.485790,-8.216505 
16/01/1988 23:00,726118.958333,15.000000,1,0,1,-17.624971,-17.349103,-17.339138,-17.240414,-16.812829,-15.737645,-15.144862,-14.729286,-13.807076,-13.771452,-12.938232,-11.411629,-11.101175,-10.847979,-10.140818,-8.729942 
17/01/1988 23:00,726119.958333,16.000000,1,0,1,-17.467096,-17.282057,-17.275082,-17.204940,-16.889325,-16.057044,-15.574257,-15.224581,-14.416133,-14.384137,-13.617945,-12.121611,-11.806902,-11.544507,-10.803652,-9.281352 
18/01/1988 23:00,726120.958333,17.000000,1,0,1,-16.932128,-16.803564,-16.798571,-16.747863,-16.513910,-15.878057,-15.497514,-15.216385,-14.549618,-14.522829,-13.871161,-12.536080,-12.247066,-12.000380,-11.294389,-9.778292 
19/01/1988 23:00,726121.958333,18.000000,1,0,1,-16.662327,-16.529577,-16.524632,-16.475089,-16.253810,-15.671631,-15.331974,-15.083852,-14.499972,-14.476578,-13.907319,-12.726937,-12.468165,-12.244187,-11.597207,-10.159306 
20/01/1988 23:00,726122.958333,19.000000,1,0,1,-16.628337,-16.497316,-16.492435,-16.443547,-16.225604,-15.655634,-15.326153,-15.087104,-14.529562,-14.507336,-13.969012,-12.863397,-12.621650,-12.412221,-11.806152,-10.443328 
21/01/1988 23:00,726123.958333,20.000000,1,0,1,-16.379015,-16.272666,-16.268642,-16.228103,-16.044521,-15.553847,-15.263468,-15.049765,-14.543232,-14.522863,-14.025817,-12.987804,-12.759255,-12.560435,-11.983780,-10.676620 
22/01/1988 23:00,726124.958333,21.000000,1,0,1,-16.810010,-16.643399,-16.637532,-16.579868,-16.334959,-15.727470,-15.392821,-15.156317,-14.619789,-14.598714,-14.094342,-13.082773,-12.863182,-12.673095,-12.122255,-10.869682 
23/01/1988 23:00,726125.958333,22.000000,1,0,1,-17.661132,-17.460203,-17.453083,-17.382993,-17.084390,-16.345237,-15.941850,-15.659615,-15.030454,-15.006028,-14.429391,-13.322912,-13.088984,-12.890421,-12.320860,-11.060484 
24/01/1988 23:00,726126.958333,23.000000,1,0,1,-17.889208,-17.736656,-17.730966,-17.673959,-17.419786,-16.756613,-16.375900,-16.101780,-15.471660,-15.446789,-14.851863,-13.681949,-13.433114,-13.222185,-12.618794,-11.302180 
25/01/1988 23:00,726127.958333,24.000000,1,0,1,-17.791221,-17.655576,-17.650545,-17.600205,-17.376365,-16.791253,-16.452815,-16.207228,-15.635130,-15.612352,-15.062011,-13.944905,-13.702831,-13.494820,-12.895615,-11.564323 
26/01/1988 23:00,726128.958333,25.000000,1,0,1,-17.932062,-17.782793,-17.777380,-17.723636,-17.489407,-16.891222,-16.552750,-16.310067,-15.751424,-15.729314,-15.197260,-14.121684,-13.888190,-13.686696,-13.104362,-11.793953 
27/01/1988 23:00,726129.958333,26.000000,1,0,1,-18.009071,-17.879701,-17.874862,-17.826331,-17.609451,-17.041407,-16.713351,-16.475867,-15.924741,-15.902848,-15.374928,-14.306203,-14.074424,-13.874641,-13.297525,-11.998617 
28/01/1988 23:00,726130.958333,27.000000,1,0,1,-17.463481,-17.392189,-17.389269,-17.359126,-17.214688,-16.806523,-16.553719,-16.363342,-15.901507,-15.882714,-15.419654,-14.432221,-14.212977,-14.021316,-13.464005,-12.188764 
29/01/1988 23:00,726131.958333,28.000000,1,0,1,-17.112015,-17.030298,-17.027207,-16.996081,-16.855221,-16.478011,-16.253403,-16.086974,-15.687354,-15.671145,-15.271290,-14.404270,-14.208800,-14.035317,-13.526185,-12.326011 
