Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,87.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,0.012480,0.012480,0.012480,0.012480,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,0.012206,0.012228,0.012229,0.012236,0.030720,0.031036,0.031191,0.031289,0.031478,0.031485,0.031622,0.031784,0.031808,0.031821,0.031853,0.031883 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,0.012155,0.012173,0.012174,0.012179,0.030385,0.030648,0.030785,0.030877,0.031070,0.031078,0.031242,0.031504,0.031552,0.031587,0.031678,0.031809 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,0.011935,0.011965,0.011967,0.011976,0.029324,0.029785,0.030021,0.030177,0.030499,0.030511,0.030774,0.031182,0.031255,0.031310,0.031453,0.031679 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,0.011768,0.011793,0.011794,0.011803,0.028300,0.028782,0.029048,0.029234,0.029644,0.029659,0.030020,0.030635,0.030752,0.030841,0.031078,0.031469 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,0.011644,0.011669,0.011670,0.011678,0.027544,0.028023,0.028291,0.028480,0.028906,0.028922,0.029311,0.030022,0.030165,0.030278,0.030589,0.031149 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,0.011562,0.011581,0.011582,0.011589,0.026964,0.027395,0.027645,0.027826,0.028243,0.028260,0.028654,0.029415,0.029574,0.029703,0.030065,0.030761 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,0.011488,0.011508,0.011509,0.011516,0.026499,0.026922,0.027163,0.027337,0.027738,0.027754,0.028135,0.028889,0.029049,0.029184,0.029565,0.030344 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,0.011475,0.011487,0.011487,0.011492,0.026298,0.026622,0.026820,0.026967,0.027321,0.027336,0.027686,0.028416,0.028575,0.028712,0.029101,0.029931 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,0.011419,0.011437,0.011438,0.011444,0.026014,0.026380,0.026587,0.026734,0.027075,0.027089,0.027416,0.028087,0.028234,0.028362,0.028731,0.029553 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,0.011332,0.011350,0.011351,0.011357,0.025449,0.025844,0.026071,0.026234,0.026611,0.026626,0.026985,0.027704,0.027859,0.027992,0.028374,0.029213 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,0.011250,0.011269,0.011269,0.011276,0.024903,0.025314,0.025550,0.025719,0.026112,0.026127,0.026502,0.027256,0.027419,0.027559,0.027961,0.028848 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,0.011173,0.011190,0.011191,0.011197,0.024355,0.024767,0.025005,0.025177,0.025579,0.025595,0.025981,0.026767,0.026938,0.027085,0.027509,0.028449 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,0.011121,0.011136,0.011137,0.011142,0.023947,0.024325,0.024547,0.024710,0.025095,0.025110,0.025487,0.026273,0.026446,0.026597,0.027033,0.028018 
15/01/1988 23:00,726117.958333,14.000000,1,0,1,0.011061,0.011077,0.011077,0.011083,0.023521,0.023904,0.024127,0.024289,0.024669,0.024684,0.025054,0.025826,0.025997,0.026147,0.026582,0.027584 
16/01/1988 23:00,726118.958333,15.000000,1,0,1,0.011011,0.011024,0.011025,0.011030,0.023114,0.023475,0.023688,0.023846,0.024219,0.024234,0.024601,0.025374,0.025546,0.025696,0.026136,0.027153 
17/01/1988 23:00,726119.958333,16.000000,1,0,1,0.011018,0.011027,0.011027,0.011031,0.023086,0.023360,0.023528,0.023655,0.023966,0.023978,0.024295,0.024996,0.025156,0.025299,0.025721,0.026728 
18/01/1988 23:00,726120.958333,17.000000,1,0,1,0.011041,0.011047,0.011047,0.011050,0.023205,0.023420,0.023554,0.023656,0.023911,0.023921,0.024185,0.024789,0.024929,0.025056,0.025436,0.026374 
19/01/1988 23:00,726121.958333,18.000000,1,0,1,0.011052,0.011059,0.011059,0.011062,0.023291,0.023491,0.023613,0.023705,0.023929,0.023938,0.024169,0.024696,0.024818,0.024931,0.025267,0.026118 
20/01/1988 23:00,726122.958333,19.000000,1,0,1,0.011053,0.011060,0.011061,0.011063,0.023300,0.023497,0.023615,0.023703,0.023917,0.023926,0.024143,0.024631,0.024744,0.024847,0.025155,0.025936 
21/01/1988 23:00,726123.958333,20.000000,1,0,1,0.011065,0.011070,0.011071,0.011073,0.023360,0.023532,0.023637,0.023716,0.023911,0.023919,0.024118,0.024572,0.024677,0.024774,0.025061,0.025791 
22/01/1988 23:00,726124.958333,21.000000,1,0,1,0.011045,0.011054,0.011054,0.011057,0.023264,0.023471,0.023591,0.023677,0.023881,0.023889,0.024090,0.024528,0.024628,0.024719,0.024990,0.025675 
