Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,70.000000,80.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000,-4.800000 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,-5.647673,-5.577190,-5.567731,-5.558684,-5.533989,-5.447008,-5.258009,-5.169670,-5.114729,-5.012104,-5.008586,-4.936304,-4.853185,-4.841486,-4.834567,-4.818640,-4.803653 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,-5.891467,-5.832553,-5.824472,-5.816687,-5.795073,-5.716177,-5.537004,-5.447281,-5.388049,-5.266340,-5.261864,-5.162418,-5.010329,-4.983317,-4.963936,-4.914130,-4.843342 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,-6.892420,-6.762898,-6.745298,-6.728402,-6.681894,-6.515416,-6.149218,-5.973420,-5.860845,-5.638392,-5.630413,-5.456979,-5.204297,-5.160068,-5.128085,-5.044857,-4.916677 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,-7.928861,-7.796051,-7.776949,-7.758300,-7.705079,-7.500628,-7.021260,-6.775494,-6.611696,-6.272956,-6.260462,-5.982450,-5.553260,-5.475993,-5.419326,-5.270991,-5.038554 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,-8.878058,-8.722593,-8.700338,-8.678627,-8.616735,-8.379018,-7.819860,-7.530176,-7.334991,-6.923656,-6.908278,-6.560733,-5.993536,-5.887197,-5.806562,-5.591432,-5.231672 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,-9.634858,-9.497516,-9.477035,-9.456826,-9.397848,-9.161210,-8.582350,-8.270894,-8.056312,-7.592197,-7.574571,-7.170354,-6.481678,-6.349025,-6.246239,-5.968490,-5.481739 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,-10.377475,-10.218490,-10.195262,-10.172468,-10.106669,-9.847646,-9.223956,-8.891905,-8.663775,-8.169456,-8.150632,-7.716553,-6.957204,-6.807668,-6.689366,-6.365554,-5.770791 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,-10.582256,-10.487234,-10.471994,-10.456659,-10.410128,-10.210182,-9.689153,-9.391097,-9.178077,-8.696600,-8.677829,-8.236269,-7.425442,-7.261859,-7.130321,-6.767054,-6.078667 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,-11.176710,-11.014226,-10.990908,-10.968132,-10.903004,-10.650761,-10.050472,-9.732119,-9.512745,-9.032063,-9.013593,-8.582217,-7.788075,-7.625595,-7.492546,-7.120628,-6.383769 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,-12.249198,-12.065775,-12.038835,-12.012360,-11.935717,-11.632172,-10.899547,-10.508962,-10.240453,-9.657923,-9.635716,-9.122522,-8.211707,-8.029546,-7.882607,-7.474544,-6.675049 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,-13.448918,-13.228425,-13.196232,-13.164646,-13.073511,-12.714632,-11.854241,-11.398323,-11.085907,-10.410357,-10.384651,-9.791594,-8.744496,-8.535849,-8.368148,-7.903486,-7.000104 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,-14.778823,-14.535000,-14.499081,-14.463754,-14.361323,-13.954098,-12.970779,-12.446701,-12.086595,-11.306160,-11.276432,-10.590250,-9.379523,-9.138650,-8.945428,-8.410763,-7.376168 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,-15.823080,-15.588329,-15.553267,-15.518641,-15.417367,-15.007739,-13.999756,-13.451386,-13.069677,-12.229572,-12.197280,-11.445831,-10.092776,-9.820958,-9.601730,-8.993698,-7.811068 
15/01/1988 23:00,726117.958333,14.000000,1,0,1,-17.147426,-16.867896,-16.826735,-16.786248,-16.668818,-16.201047,-15.068842,-14.462287,-14.043453,-13.128270,-13.093214,-12.278877,-10.810956,-10.514824,-10.274699,-9.606331,-8.289766 
16/01/1988 23:00,726118.958333,15.000000,1,0,1,-18.425229,-18.161050,-18.120953,-18.081193,-17.963979,-17.482896,-16.287703,-15.633677,-15.177509,-14.172095,-14.133420,-13.232727,-11.603751,-11.275066,-11.008622,-10.267009,-8.804135 
17/01/1988 23:00,726119.958333,16.000000,1,0,1,-18.297193,-18.125501,-18.098159,-18.070689,-17.987540,-17.629548,-16.692544,-16.150972,-15.759982,-14.860918,-14.825463,-13.980114,-12.353789,-12.015137,-11.735151,-10.948514,-9.358267 
18/01/1988 23:00,726120.958333,17.000000,1,0,1,-17.739378,-17.624422,-17.605427,-17.586156,-17.526709,-17.262348,-16.546450,-16.118108,-15.802083,-15.054947,-15.024996,-14.298689,-12.828186,-12.512500,-12.245130,-11.483646,-9.876418 
19/01/1988 23:00,726121.958333,18.000000,1,0,1,-17.432563,-17.312266,-17.293304,-17.274295,-17.216979,-16.971590,-16.327772,-15.951284,-15.675979,-15.027866,-15.001899,-14.370476,-13.067680,-12.783401,-12.538656,-11.834326,-10.291931 
20/01/1988 23:00,726122.958333,19.000000,1,0,1,-17.385439,-17.265387,-17.246514,-17.227617,-17.170790,-16.928874,-16.300150,-15.936902,-15.673423,-15.059153,-15.034673,-14.442056,-13.228567,-12.963974,-12.735533,-12.076112,-10.609240 
21/01/1988 23:00,726123.958333,20.000000,1,0,1,-17.130225,-17.034651,-17.019325,-17.003890,-16.956919,-16.752592,-16.208252,-15.885799,-15.648530,-15.086800,-15.064233,-14.514314,-13.372375,-13.121967,-12.904994,-12.277341,-10.869060 
22/01/1988 23:00,726124.958333,21.000000,1,0,1,-17.550566,-17.394007,-17.370828,-17.347987,-17.281453,-17.013866,-16.355043,-15.992310,-15.735877,-15.153535,-15.130644,-14.582357,-13.481064,-13.242008,-13.035336,-12.437240,-11.086901 
23/01/1988 23:00,726125.958333,22.000000,1,0,1,-18.430139,-18.239415,-18.211025,-18.183020,-18.101315,-17.772119,-16.966258,-16.528742,-16.223494,-15.544979,-15.518677,-14.898442,-13.710937,-13.460090,-13.247307,-12.637295,-11.291869 
24/01/1988 23:00,726126.958333,23.000000,1,0,1,-18.696869,-18.554809,-18.532499,-18.510166,-18.443054,-18.157663,-17.420053,-16.998730,-16.696470,-16.005214,-15.978016,-15.329585,-14.066959,-13.799895,-13.574429,-12.930846,-11.536115 
25/01/1988 23:00,726127.958333,24.000000,1,0,1,-18.628889,-18.501762,-18.481908,-18.462055,-18.402506,-18.149826,-17.494606,-17.116854,-16.843419,-16.208887,-16.183685,-15.576511,-14.355952,-14.093116,-13.868489,-13.223535,-11.806621 
26/01/1988 23:00,726128.958333,25.000000,1,0,1,-18.793322,-18.651959,-18.630389,-18.608958,-18.545495,-18.282369,-17.615905,-17.239825,-16.970637,-16.352436,-16.328004,-15.741106,-14.562330,-14.307622,-14.088821,-13.458356,-12.055552 
27/01/1988 23:00,726129.958333,26.000000,1,0,1,-18.883147,-18.763276,-18.744350,-18.725379,-18.668220,-18.423997,-17.788961,-17.423183,-17.158938,-16.547622,-16.523386,-15.940275,-14.768696,-14.515850,-14.298864,-13.673789,-12.281472 
28/01/1988 23:00,726130.958333,27.000000,1,0,1,-18.322649,-18.261532,-18.250767,-18.239678,-18.204486,-18.040751,-17.579289,-17.293505,-17.078590,-16.558916,-16.537817,-16.019426,-14.925313,-14.684002,-14.474296,-13.866722,-12.494111 
29/01/1988 23:00,726131.958333,28.000000,1,0,1,-17.930865,-17.859295,-17.847785,-17.836184,-17.800831,-17.646559,-17.232959,-16.985196,-16.801025,-16.357495,-16.339481,-15.894824,-14.932280,-14.715912,-14.524667,-13.965119,-12.662485 
30/01/1988 23:00,726132.958333,29.000000,1,0,1,-17.771324,-17.697194,-17.685350,-17.673439,-17.637326,-17.481326,-17.069401,-16.827115,-16.649138,-16.226438,-16.209397,-15.791396,-14.896901,-14.696323,-14.518777,-13.998198,-12.772395 
31/01/1988 23:00,726133.958333,30.000000,1,0,1,-17.006385,-17.003744,-17.001453,-16.998664,-16.987351,-16.917487,-16.680853,-16.514634,-16.382029,-16.041624,-16.027377,-15.667655,-14.853855,-14.667883,-14.501795,-14.012973,-12.850441 
01/02/1988 23:00,726134.958333,31.000000,1,0,1,-15.823791,-15.862911,-15.867057,-15.870670,-15.878323,-15.886788,-15.843655,-15.780918,-15.718704,-15.526492,-15.517761,-15.281412,-14.659041,-14.507464,-14.366549,-13.943655,-12.886248 
02/02/1988 23:00,726135.958333,32.000000,1,0,1,-15.549768,-15.514310,-15.509293,-15.504403,-15.490441,-15.435981,-15.299454,-15.218075,-15.155630,-14.993291,-14.986361,-14.804395,-14.328924,-14.210636,-14.097621,-13.752523,-12.840976 
03/02/1988 23:00,726136.958333,33.000000,1,0,1,-16.345245,-16.228723,-16.212314,-16.196382,-16.151407,-15.981531,-15.591614,-15.392010,-15.256732,-14.962183,-14.950847,-14.682467,-14.138534,-14.016876,-13.907160,-13.579839,-12.749951 
04/02/1988 23:00,726137.958333,34.000000,1,0,1,-17.022928,-16.914011,-16.897564,-16.881279,-16.833421,-16.638206,-16.155717,-15.892513,-15.708889,-15.302080,-15.286354,-14.916748,-14.213228,-14.064346,-13.936848,-13.567716,-12.709624 
