Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,6.000000,87.000000,90.000000,120.000000,160.000000,236.000000,280.000000,312.000000,387.000000,390.000000,463.000000,616.000000,650.000000,680.000000,768.000000,978.000000 
01/01/1988 23:00,726103.958333,0.000000,1,0,1,0.092177,0.092177,0.092177,0.092177,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891,0.031891 
02/01/1988 23:00,726104.958333,1.000000,1,0,1,0.089428,0.089737,0.089748,0.089843,0.030882,0.031164,0.031300,0.031386,0.031549,0.031554,0.031670,0.031805,0.031824,0.031836,0.031861,0.031885 
03/01/1988 23:00,726105.958333,2.000000,1,0,1,0.088794,0.089048,0.089056,0.089136,0.030520,0.030767,0.030894,0.030980,0.031159,0.031166,0.031317,0.031555,0.031597,0.031629,0.031709,0.031823 
04/01/1988 23:00,726106.958333,3.000000,1,0,1,0.086248,0.086718,0.086733,0.086878,0.029537,0.029969,0.030188,0.030333,0.030631,0.030642,0.030884,0.031257,0.031324,0.031374,0.031503,0.031706 
05/01/1988 23:00,726107.958333,4.000000,1,0,1,0.084080,0.084499,0.084513,0.084654,0.028511,0.028983,0.029242,0.029422,0.029814,0.029829,0.030173,0.030749,0.030858,0.030940,0.031159,0.031515 
06/01/1988 23:00,726108.958333,5.000000,1,0,1,0.082360,0.082789,0.082804,0.082947,0.027740,0.028214,0.028477,0.028664,0.029080,0.029096,0.029474,0.030158,0.030294,0.030402,0.030696,0.031219 
07/01/1988 23:00,726109.958333,6.000000,1,0,1,0.081143,0.081494,0.081506,0.081630,0.027133,0.027566,0.027816,0.027996,0.028411,0.028427,0.028817,0.029561,0.029714,0.029840,0.030187,0.030849 
08/01/1988 23:00,726110.958333,7.000000,1,0,1,0.080028,0.080398,0.080411,0.080538,0.026654,0.027077,0.027318,0.027492,0.027892,0.027908,0.028287,0.029032,0.029189,0.029321,0.029692,0.030445 
09/01/1988 23:00,726111.958333,8.000000,1,0,1,0.079768,0.079994,0.080003,0.080091,0.026414,0.026748,0.026950,0.027100,0.027458,0.027473,0.027825,0.028553,0.028711,0.028845,0.029229,0.030039 
10/01/1988 23:00,726112.958333,9.000000,1,0,1,0.078912,0.079257,0.079269,0.079384,0.026135,0.026501,0.026707,0.026855,0.027197,0.027211,0.027539,0.028211,0.028358,0.028485,0.028852,0.029662 
11/01/1988 23:00,726113.958333,10.000000,1,0,1,0.077549,0.077902,0.077914,0.078036,0.025572,0.025969,0.026196,0.026359,0.026736,0.026751,0.027110,0.027826,0.027981,0.028112,0.028491,0.029320 
12/01/1988 23:00,726114.958333,11.000000,1,0,1,0.076184,0.076562,0.076575,0.076705,0.025023,0.025436,0.025672,0.025842,0.026235,0.026250,0.026625,0.027377,0.027540,0.027679,0.028079,0.028956 
13/01/1988 23:00,726115.958333,12.000000,1,0,1,0.074838,0.075211,0.075225,0.075355,0.024468,0.024883,0.025122,0.025295,0.025698,0.025714,0.026101,0.026887,0.027057,0.027204,0.027626,0.028558 
14/01/1988 23:00,726116.958333,13.000000,1,0,1,0.073885,0.074218,0.074230,0.074348,0.024046,0.024428,0.024653,0.024817,0.025205,0.025221,0.025600,0.026389,0.026562,0.026713,0.027149,0.028129 
