"number","org.Ks","org.vwc_s","org.vwc_r","org.vwc_fc","org.vwc_wp","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.vwc_fc","min.vwc_wp","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","period","variable","RMSE.mean","NRMSE.mean","R2.mean","NSE.mean"
"0001",0.183344883768437,0.55,0.01,0.191553134206462,0.0592019593907921,0.00719448369395221,1.34301708514011,8.40897196108126,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.10704799473716,0.210530790783155,0.80554295410232,0.260944892763985
"0001",0.183344883768437,0.55,0.01,0.191553134206462,0.0592019593907921,0.00719448369395221,1.34301708514011,8.40897196108126,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.81767861328282,0.248913059610554,0.742772590847525,-0.00589801736637489
"0001",0.183344883768437,0.55,0.01,0.191553134206462,0.0592019593907921,0.00719448369395221,1.34301708514011,8.40897196108126,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.152500515035602,0.29319109744442,0.462245205182506,0.272627544826742
"0001",0.183344883768437,0.55,0.01,0.191553134206462,0.0592019593907921,0.00719448369395221,1.34301708514011,8.40897196108126,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.14304327224285,0.285960023169026,0.523150755046569,-0.155965164242981
"0002",0.768500464231097,0.55,0.01,0.0362224852820782,0.0107855525780812,0.00812943153398577,1.91933863631333,1.75741817349335,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.345208100126,0.169208931854736,0.834884720252107,0.527036870644173
"0002",0.768500464231097,0.55,0.01,0.0362224852820782,0.0107855525780812,0.00812943153398577,1.91933863631333,1.75741817349335,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.164700121755661,0.306653139341287,0.420199727304542,0.16238892472874
"0002",0.768500464231097,0.55,0.01,0.0362224852820782,0.0107855525780812,0.00812943153398577,1.91933863631333,1.75741817349335,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.152516228265427,0.303315641411038,0.525774931249289,-0.367723219862657
"0002",0.768500464231097,0.55,0.01,0.0362224852820782,0.0107855525780812,0.00812943153398577,1.91933863631333,1.75741817349335,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",3.81856393451553,0.192979085894206,0.785679470872344,0.394278907751812
"0003",0.432477544596423,0.55,0.01,0.0794762011311742,0.0156605054249328,0.00682842792904703,1.65756341420347,6.03591230044665,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.85041650715444,0.196471658165283,0.806900309648274,0.358258475560489
"0003",0.432477544596423,0.55,0.01,0.0794762011311742,0.0156605054249328,0.00682842792904703,1.65756341420347,6.03591230044665,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.148286584827422,0.298872722360702,0.530439019855307,-0.404273658262622
"0003",0.432477544596423,0.55,0.01,0.0794762011311742,0.0156605054249328,0.00682842792904703,1.65756341420347,6.03591230044665,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.161605866740506,0.304862289783419,0.444703319575909,0.192184184279372
"0003",0.432477544596423,0.55,0.01,0.0794762011311742,0.0156605054249328,0.00682842792904703,1.65756341420347,6.03591230044665,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.57535470557928,0.235816363119768,0.755370934575555,0.0949397102190159
"0004",0.224880785116123,0.55,0.01,0.0490632124178764,0.0113490241500615,0.00593477066471009,1.88231147614215,9.31192466602428,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.9953778105756,0.204482913076211,0.800493618447742,0.304350896392142
"0004",0.224880785116123,0.55,0.01,0.0490632124178764,0.0113490241500615,0.00593477066471009,1.88231147614215,9.31192466602428,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.149860479513731,0.302601076474192,0.523662532708812,-0.455230650753138
"0004",0.224880785116123,0.55,0.01,0.0490632124178764,0.0113490241500615,0.00593477066471009,1.88231147614215,9.31192466602428,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.164664190414048,0.309628413359417,0.412664724621379,0.157458374372188
"0004",0.224880785116123,0.55,0.01,0.0490632124178764,0.0113490241500615,0.00593477066471009,1.88231147614215,9.31192466602428,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.63502908966259,0.238639848086376,0.751166354144251,0.0717517152916437
"0005",0.46543164339172,0.55,0.01,0.29346492939731,0.109512814339441,0.00297253549059853,1.27724245744944,17.1267869306606,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.42118866402732,0.228025273878149,0.796836602105088,0.142226586764267
"0005",0.46543164339172,0.55,0.01,0.29346492939731,0.109512814339441,0.00297253549059853,1.27724245744944,17.1267869306606,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.129980714650644,0.26252936371084,0.531290885338767,0.0466971836563076
"0005",0.46543164339172,0.55,0.01,0.29346492939731,0.109512814339441,0.00297253549059853,1.27724245744944,17.1267869306606,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.149549199891315,0.292188558940098,0.427040298996543,0.277259247803157
"0005",0.46543164339172,0.55,0.01,0.29346492939731,0.109512814339441,0.00297253549059853,1.27724245744944,17.1267869306606,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",5.14986540222178,0.267662663163872,0.728901029785464,-0.160646373003058
"0006",0.112380095995858,0.55,0.01,0.19285206076718,0.0533731081750593,0.00522680126460502,1.37838188559772,19.8804037249443,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.141464722800032,0.284709659472441,0.523496557983866,-0.186705167839243
"0006",0.112380095995858,0.55,0.01,0.19285206076718,0.0533731081750593,0.00522680126460502,1.37838188559772,19.8804037249443,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",5.00063137952406,0.258875276045154,0.734958043025538,-0.0858270272224659
"0006",0.112380095995858,0.55,0.01,0.19285206076718,0.0533731081750593,0.00522680126460502,1.37838188559772,19.8804037249443,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.27776574295997,0.2196259465791,0.798288622745467,0.196576783776464
"0006",0.112380095995858,0.55,0.01,0.19285206076718,0.0533731081750593,0.00522680126460502,1.37838188559772,19.8804037249443,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.151526588296978,0.291570649106938,0.466763243733429,0.279604871516086
"0007",0.541141284327775,0.55,0.01,0.0367417276300402,0.0108939596797468,0.00884402188066859,1.89058795244596,6.83229978991207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.89214697898636,0.198779189819017,0.803563744938661,0.343900417947586
"0007",0.541141284327775,0.55,0.01,0.0367417276300402,0.0108939596797468,0.00884402188066859,1.89058795244596,6.83229978991207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.150178312271905,0.30299399600476,0.52763338616774,-0.452787773434785
"0007",0.541141284327775,0.55,0.01,0.0367417276300402,0.0108939596797468,0.00884402188066859,1.89058795244596,6.83229978991207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.47639936024638,0.229482004328851,0.754456494772663,0.14241606507324
